scheme,variant,infer_obj,K,beta_inf,recon_w,nonfinite,rank_frac,var_med,temp_var,collapse_pass,corr_norm,innov_kl,R_prior,R_post,recon_gain,F_prior,F_post,F_gain,R_pr_true,R_pr_shuf,R_pr_noop,act_gain_R,act_gain_F,act_gain_noop,D_pred,D_noop,noop_ratio,kl_exact,fisher_q,exact/quad,rate_mean,rate_p95,rate_p99,rate_max,hi_sat,lo_sat,SATURATED,CLEAN,error
online,poisson_exact_kl,free_energy,1,0.1,0.001,0,0.045,5.28e-01,5.28e-01,0,10.9028,2665.729,756.9449,180.5368,576.40814,756.9449,447.1097,309.83524,756.9449,756.7643,381.855,-0.18066,-0.18066,-375.08997,2665.729,2700.963,0.987,2365.187,429.139,5.511,10.386,148.41,148.41,148.41,0.053,0.0,1,0,
online,poisson_exact_kl,free_energy,1,1.0,0.001,0,0.045,5.32e-01,5.29e-01,0,10.9208,2680.753,757.5729,179.6035,577.96945,757.5729,2860.3562,-2102.78323,757.5729,757.3759,381.3591,-0.19708,-0.19708,-376.21387,2680.753,2711.188,0.989,2376.365,430.671,5.518,10.414,148.41,148.41,148.41,0.053,0.0,1,0,
online,poisson_exact_kl,free_energy,1,3.0,0.001,0,0.045,5.32e-01,5.29e-01,0,10.9141,2688.798,757.6076,178.5665,579.04111,757.6076,8244.9601,-7487.35245,757.6076,757.3789,380.5272,-0.2287,-0.2287,-377.08038,2688.798,2706.615,0.993,2382.407,431.332,5.523,10.428,148.41,148.41,148.41,0.053,0.0,1,0,
online,poisson_exact_kl,recon_only,1,1.0,0.001,0,0.045,5.28e-01,5.29e-01,0,10.8937,2665.644,757.0754,180.2858,576.78955,757.0754,2845.9299,-2088.85449,757.0754,756.9301,382.027,-0.14532,-0.14532,-375.04834,2665.644,2703.654,0.986,2364.882,429.517,5.506,10.388,148.41,148.41,148.41,0.053,0.0,1,0,
online,poisson_exact_kl,free_energy,4,0.1,0.001,0,0.301,3.33e+01,2.19e+01,1,120.4008,375.826,886.2807,1114.1018,-227.82111,886.2807,1151.6844,-265.40371,886.2807,885.946,1109.8167,-0.33472,-0.33472,223.53595,375.826,1316.45,0.285,365.93,12033.269,0.03,0.873,2.24,4.15,148.41,0.002,0.429,1,0,
online,poisson_exact_kl,free_energy,4,1.0,0.001,0,0.303,3.18e+01,2.83e+01,1,116.6743,254.93,175.8182,678.9489,-503.13069,175.8182,933.8792,-758.06099,175.8182,175.8121,670.8456,-0.00609,-0.00609,495.02742,254.93,458.215,0.556,216.764,13782.083,0.016,0.5,2.1,3.3,148.41,0.0,0.439,1,0,
online,poisson_exact_kl,free_energy,4,3.0,0.001,0,0.282,3.18e+01,2.89e+01,1,121.1633,324.324,168.23,672.3217,-504.09175,168.23,1645.2951,-1477.06514,168.23,168.1964,682.2303,-0.03358,-0.03358,514.00038,324.324,606.791,0.534,274.9,15345.788,0.018,0.548,1.69,4.13,148.41,0.001,0.468,1,0,
online,poisson_exact_kl,recon_only,4,1.0,0.001,0,0.073,2.59e+00,1.46e+00,0,25.8061,16633.301,1126.9675,51.8835,1075.08405,1126.9675,16685.1843,-15558.21673,1126.9675,1127.0613,54.21,0.09375,0.09375,-1072.7575,16633.303,6402.483,2.598,18212.977,1132.386,16.084,34.967,148.41,148.41,148.41,0.193,0.0,1,0,
online,poisson_exact_kl,free_energy,8,0.1,0.001,0,0.276,3.23e+01,2.97e+01,1,131.8122,2220.767,603.3144,681.5127,-78.1983,603.3144,903.5894,-300.27501,603.3144,603.3624,776.2305,0.04797,0.04797,172.91608,2220.767,7137.191,0.311,1878.452,19891.686,0.094,2.293,1.58,148.41,148.41,0.011,0.569,1,0,
online,poisson_exact_kl,free_energy,8,1.0,0.001,0,0.309,2.92e+01,2.62e+01,1,135.9197,1048.984,416.4463,918.0472,-501.60095,416.4463,1967.0309,-1550.58459,416.4463,416.3855,939.8817,-0.06079,-0.06079,523.43542,1048.984,3145.313,0.334,926.707,21265.229,0.044,1.061,1.0,7.89,148.41,0.004,0.63,1,0,
online,poisson_exact_kl,free_energy,8,3.0,0.001,0,0.312,2.86e+01,2.54e+01,1,137.9268,1211.109,357.0627,832.6205,-475.55786,357.0627,4465.9465,-4108.88379,357.0627,356.9594,871.1696,-0.10324,-0.10324,514.10693,1211.109,3825.412,0.317,1068.597,22073.617,0.048,1.196,1.0,14.04,148.41,0.005,0.341,1,0,
